id,ground_truth
0,1
1,1
2,25
3,25
4,1
5,1
6,25
7,4
8,1
9,1
10,20
11,16
12,7
13,1
14,15
15,0
16,36
17,1
18,0
19,1
20,1
21,1
22,1
23,1
24,1
25,19
26,1
27,7
28,14
29,39
30,36
31,1
32,1
33,1
34,1
35,7
36,7
37,7
38,1
39,14
40,31
41,3
42,1
43,9
44,7
45,36
46,37
47,1
48,38
49,36
50,6
51,5
52,36
53,23
54,35
55,15
56,15
57,4
58,1
59,1
60,4
61,40
62,6
63,4
64,0
65,1
66,1
67,0
68,4
69,23
70,6
71,6
72,15
73,4
74,6
75,23
76,31
77,23
78,21
79,21
80,21
81,26
82,22
83,22
84,21
85,21
86,21
87,21
88,36
89,21
90,36
91,20
92,20
93,38
94,36
95,10
96,22
97,28
98,28
99,21
100,21
101,17
102,19
103,36
104,37
105,17
106,32
107,21
108,21
109,21
110,21
111,22
112,22
113,14
114,20
115,28
116,17
117,21
118,22
119,21
120,38
121,21
122,1
123,16
124,10
125,38
126,21
127,26
128,28
129,21
130,34
131,22
132,25
133,36
134,14
135,1
136,1
137,21
138,35
139,19
140,21
141,21
142,21
143,19
144,37
145,21
146,26
147,32
148,21
149,22
150,22
151,21
152,22
153,32
154,21
155,21
156,21
157,32
158,21
159,21
160,32
161,38
162,21
163,32
164,21
165,21
166,17
167,15
168,32
169,4
170,19
171,19
172,19
173,4
174,17
175,20
176,16
177,15
178,36
179,36
180,35
181,13
182,13
183,36
184,26
185,8
186,14
187,34
188,4
189,14
190,37
191,21
192,35
193,22
194,21
195,0
196,14
197,14
198,11
199,11
200,11
201,11
202,5
203,34
204,10
205,4
206,10
207,16
208,16
209,16
210,34
211,13
212,6
213,16
214,4
215,2
216,13
217,14
218,35
219,0
220,24
221,10
222,15
223,0
224,4
225,4
226,4
227,19
228,23
229,19
230,19
231,19
232,19
233,19
234,10
235,17
236,23
237,4
238,20
239,9
240,1
241,10
242,9
243,9
244,13
245,0
246,0
247,8
248,14
249,14
250,8
251,7
252,10
253,4
254,26
255,10
256,13
257,13
258,4
259,3
260,22
261,4
262,30
263,4
264,14
265,22
266,4
267,40
268,14
269,0
270,10
271,25
272,3
273,4
274,4
275,6
276,25
277,23
278,0
279,15
280,1
281,29
282,21
283,22
284,23
285,34
286,4
287,28
288,21
289,5
290,38
291,14
292,4
293,7
294,13
295,4
296,19
297,12
298,3
299,4
300,17
301,0
302,4
303,7
304,5
305,4
306,4
307,4
308,7
309,15
310,7
311,7
312,7
313,15
314,4
315,17
316,4
317,4
318,4
319,4
320,15
321,5
322,21
323,22
324,21
325,14
326,14
327,14
328,14
329,8
330,14
331,34
332,14
333,14
334,14
335,14
336,14
337,14
338,14
339,14
340,14
341,14
342,14
343,14
344,14
345,35
346,14
347,14
348,14
349,14
350,14
351,14
352,14
353,14
354,14
355,14
356,14
357,14
358,14
359,14
360,14
361,14
362,14
363,14
364,14
365,14
366,14
367,14
368,14
369,14
370,14
371,14
372,14
373,14
374,14
375,14
376,14
377,14
378,36
379,14
380,14
381,14
382,14
383,14
384,9
385,9
386,11
387,11
388,15
389,8
390,38
391,9
392,9
393,13
394,2
395,36
396,9
397,15
398,15
399,9
400,38
401,9
402,9
403,8
404,15
405,9
406,4
407,19
408,19
409,19
410,4
411,35
412,14
413,14
414,0
415,14
416,4
417,14
418,14
419,14
420,17
421,11
422,11
423,11
424,11
425,11
426,11
427,11
428,11
429,11
430,5
431,3
432,36
433,34
434,4
435,5
436,16
437,8
438,10
439,26
440,0
441,0
442,13
443,4
444,4
445,0
446,15
447,4
448,0
449,19
450,10
451,0
452,20
453,17
454,13
455,0
456,0
457,0
458,0
459,8
460,10
461,7
462,4
463,10
464,10
465,17
466,17
467,15
468,15
469,8
470,3
471,4
472,3
473,8
474,4
475,15
476,4
477,17
478,11
479,11
480,26
481,4
482,29
483,23
484,18
485,38
486,11
487,7
488,5
489,4
490,5
491,0
492,0
493,0
494,4
495,7
496,4
497,23
498,2
499,4
500,4
501,4
502,5
503,4
504,5
505,1
506,5
507,4
508,4
509,34
510,17
511,17
512,17
513,17
514,17
515,16
516,16
517,17
518,17
519,17
520,23
521,17
522,17
523,17
524,17
525,15
526,29
527,27
528,8
529,7
530,1
531,13
532,27
533,35
534,10
535,7
536,4
537,6
538,23
539,0
540,1
541,1
542,1
543,31
544,1
545,1
546,1
547,1
548,7
549,7
550,7
551,12
552,15
553,35
554,37
555,37
556,29
557,1
558,1
559,7
560,7
561,1
562,36
563,37
564,39
565,35
566,11
567,9
568,15
569,9
570,15
571,15
572,23
573,15
574,23
575,15
576,9
577,9
578,37
579,37
580,15
581,6
582,6
583,34
584,29
585,11
586,11
587,13
588,10
589,10
590,13
591,34
592,11
593,11
594,11
595,11
596,13
597,22
598,11
599,10
600,10
601,10
602,13
603,11
604,11
605,13
606,5
607,3
608,15
609,38
610,13
611,15
612,2
613,1
614,13
615,40
616,36
617,10
618,10
619,7
620,10
621,10
622,11
623,10
624,10
625,10
626,13
627,10
628,4
629,4
630,7
631,4
632,5
633,15
634,6
635,6
636,34
637,39
638,14
639,14
640,4
641,14
642,14
643,14
644,14
645,14
646,14
647,14
648,16
649,16
650,17
651,10
652,10
653,10
654,37
655,8
656,10
657,15
658,37
659,37
660,37
661,27
662,4
663,20
664,5
665,16
666,15
667,7
668,0
669,23
670,0
671,4
672,22
673,6
674,22
675,22
676,21
677,21
678,20
679,36
680,23
681,4
682,19
683,7
684,0
685,7
686,7
687,7
688,7
689,7
690,7
691,7
692,7
693,7
694,7
695,0
696,0
697,41
698,37
699,3
700,0
701,27
702,27
703,4
704,2
705,3
706,15
707,23
708,15
709,16
710,16
711,4
712,27
713,15
714,4
715,27
716,15
717,17
718,13
719,16
720,21
721,9
722,19
723,16
724,4
725,0
726,4
727,6
728,4
729,4
730,19
731,36
732,4
733,4
734,33
735,4
736,4
737,14
738,15
739,8
740,8
741,8
742,35
743,15
744,15
745,15
746,15
747,37
748,9
749,1
750,1
751,6
752,1
753,12
754,3
755,22
756,15
757,15
758,4
759,36
760,36
761,6
762,7
763,23
764,4
765,8
766,40
767,31
768,2
769,4
770,2
771,4
772,15
773,31
774,15
775,1
776,4
777,4
778,16
779,15
780,4
781,26
782,4
783,35
784,5
785,20
786,20
787,20
788,8
789,9
790,9
791,4
792,4
793,5
794,6
795,13
796,16
797,22
798,9
799,16
800,16
801,16
802,1
803,7
804,24
805,24
806,19
807,4
808,10
809,6
810,6
811,8
