id,ground_truth,CNM,Combo,Leiden,Louvain,Paris,RB-C,RB-ER,Significance,Eigenvector,RSC-K,RSC-SSE,RSC-V,Spectral,Deepwalk,Fairwalk,Node2Vec,Infomap,Spinglass,Walktrap,Fluid,Label Propagation,EM,SBM,SBM - Nested
0,0,0,3,3,3,0,3,3,4,4,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0
1,0,0,3,3,3,0,3,3,4,4,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0
2,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
3,0,2,2,2,2,0,2,2,14,0,0,0,0,0,0,0,0,2,2,2,0,2,0,0,0
4,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
5,0,0,3,3,3,0,3,3,4,4,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0
6,0,0,3,3,3,0,3,3,4,4,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0
7,1,1,0,0,1,1,0,1,3,3,1,0,1,1,1,1,1,0,0,1,1,4,0,1,1
8,1,1,0,0,1,1,0,1,2,2,1,1,1,1,1,1,1,0,0,1,1,4,0,1,1
9,1,1,0,0,3,1,0,3,5,3,1,1,1,1,1,1,1,5,0,1,1,5,1,1,1
10,1,1,0,0,1,1,0,1,3,3,1,0,1,1,1,1,1,0,0,1,1,4,1,1,1
11,1,1,0,0,1,1,0,1,3,3,1,0,1,1,1,1,1,0,0,1,1,4,1,1,1
12,0,1,3,3,3,0,3,3,6,3,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0
13,0,3,4,4,0,0,4,0,7,0,0,0,0,0,0,0,0,3,4,2,0,0,0,0,0
14,1,1,0,0,1,1,0,1,2,2,1,1,1,1,1,1,1,0,0,1,1,3,1,1,1
15,1,1,0,0,1,1,0,1,5,3,1,1,1,1,1,1,1,0,0,1,1,3,1,1,1
16,0,0,3,3,3,0,3,3,8,4,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0
17,0,0,3,1,0,0,1,0,8,4,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0
18,0,0,1,1,0,0,1,4,9,4,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
19,0,2,4,4,2,0,4,0,10,0,0,0,0,0,0,0,0,3,4,2,0,0,0,0,0
20,0,2,4,4,2,0,4,0,6,0,0,0,0,0,0,0,0,3,4,2,0,0,0,0,0
21,0,2,4,4,2,0,4,0,10,0,0,0,0,0,0,0,0,3,4,2,0,0,0,0,0
22,0,2,2,2,2,0,2,2,16,0,0,0,0,0,0,0,0,2,2,2,0,2,0,0,0
23,0,2,2,2,2,0,2,2,1,0,0,0,0,0,0,0,0,2,2,2,0,2,0,0,0
24,1,1,0,0,1,1,0,1,13,2,1,1,1,1,1,1,1,0,0,1,1,3,1,1,1
25,1,1,0,0,1,1,0,1,2,2,1,1,1,1,1,1,1,0,0,1,1,3,1,1,1
26,1,1,0,0,1,1,0,1,2,2,1,1,1,1,1,1,1,0,0,1,1,3,1,1,1
27,1,1,0,0,1,1,0,1,13,2,1,1,1,1,1,1,1,0,0,1,1,3,0,1,1
28,1,1,0,0,1,1,0,1,2,2,1,1,1,1,1,1,1,0,0,1,1,3,0,1,1
29,1,1,0,0,1,1,0,1,2,2,1,1,1,1,1,1,1,0,0,1,1,3,1,1,1
30,1,1,0,0,3,1,0,3,5,3,1,0,1,1,1,1,1,5,0,1,1,5,0,1,1
31,0,1,3,3,3,1,3,3,5,3,0,0,1,0,0,0,0,5,3,1,0,0,0,0,0
32,0,0,3,1,0,0,1,0,6,4,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0
33,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
34,0,2,2,2,2,0,2,2,1,0,0,0,0,0,0,0,0,2,2,2,0,2,0,0,0
35,1,1,0,0,1,1,0,6,11,2,1,1,1,1,1,1,1,0,0,3,1,3,1,1,1
36,0,2,2,2,2,0,2,2,1,0,0,0,0,0,0,0,0,2,2,2,0,2,0,0,0
37,0,2,2,2,2,0,2,2,20,0,0,0,0,0,0,0,0,2,2,2,0,2,0,0,0
38,0,0,1,1,0,0,1,9,21,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0
39,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
40,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
41,0,2,2,2,2,0,2,2,1,0,0,0,0,0,0,0,0,2,2,2,0,2,0,0,0
42,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0
43,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
44,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0
45,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
46,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
47,0,2,2,2,2,0,2,2,1,0,0,0,0,0,0,0,0,2,2,2,0,2,0,0,0
48,0,2,2,2,2,0,2,2,14,0,0,0,0,0,0,0,0,2,2,2,0,2,0,0,0
49,1,1,0,0,1,1,0,10,17,2,1,0,1,1,1,1,1,0,0,1,1,4,1,1,1
50,1,1,0,0,1,1,0,1,3,3,1,0,1,1,1,1,1,0,0,1,1,4,1,1,1
51,1,1,0,0,1,1,0,7,15,2,1,0,1,1,1,1,1,0,0,1,1,4,1,1,1
52,0,2,2,2,2,0,2,2,1,0,0,0,0,0,0,0,0,2,2,2,0,2,0,0,0
53,0,2,2,2,2,0,2,2,7,0,0,0,0,0,0,0,0,2,2,2,0,2,0,0,0
54,0,2,2,2,2,0,2,2,19,0,0,0,0,0,0,0,0,2,2,2,0,2,0,0,0
55,1,1,0,0,1,1,0,6,11,2,0,0,1,1,1,1,1,0,0,3,1,3,1,1,1
56,0,0,1,1,0,0,1,5,12,1,0,0,0,0,0,0,0,1,1,0,0,6,0,0,0
57,0,3,4,4,0,0,4,8,7,2,1,1,1,1,1,1,1,3,4,1,1,3,1,0,0
58,0,0,1,1,0,0,1,11,18,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
59,0,0,1,1,0,0,1,5,12,1,0,0,0,0,0,0,0,1,1,0,0,6,1,0,0
60,0,0,1,1,0,0,1,4,9,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
61,1,1,0,0,1,1,0,12,22,2,1,0,1,1,1,1,1,0,0,1,1,3,1,1,1
