id,ground_truth,CNM,Combo,Leiden,Louvain,Paris,RB-C,RB-ER,Significance,Eigenvector,RSC-K,RSC-SSE,RSC-V,Spectral,Deepwalk,Fairwalk,Node2Vec,Infomap,Spinglass,Walktrap,Fluid,Label Propagation,EM,SBM,SBM - Nested
0,7,3,2,2,2,8,2,0,7,1,9,9,9,1,9,9,9,9,0,0,9,8,0,0,0
1,0,3,7,7,7,7,7,7,5,5,6,6,6,0,7,6,7,7,8,8,0,5,0,7,8
2,2,2,4,4,4,1,4,5,2,2,3,3,3,1,3,3,3,4,4,5,4,3,0,5,5
3,3,2,3,3,3,3,3,4,0,2,1,1,1,1,1,1,2,2,3,3,2,2,0,3,3
4,7,2,2,2,2,8,2,0,7,1,9,9,9,1,9,9,9,9,0,0,9,8,0,0,0
5,3,2,3,3,3,9,3,4,0,7,1,1,1,1,1,1,2,2,3,3,2,2,0,3,3
6,2,5,4,4,4,1,4,5,2,2,3,3,3,0,3,3,3,4,4,5,4,3,0,5,5
7,8,1,5,5,5,4,5,0,3,2,4,4,4,1,4,4,4,5,0,6,6,1,0,6,6
8,8,1,5,5,5,4,5,0,3,1,4,4,4,1,4,4,4,5,0,6,6,1,0,6,6
9,7,1,2,2,2,8,2,0,7,1,9,9,9,1,9,9,9,9,0,0,9,8,2,0,0
10,3,2,3,3,3,3,3,4,0,2,1,1,1,1,1,1,2,2,3,3,2,2,0,3,3
11,10,2,2,2,2,9,2,9,10,1,10,10,10,1,10,10,10,10,0,0,8,1,2,0,0
12,6,4,1,1,1,0,1,1,11,0,0,0,0,0,0,0,0,0,1,1,1,10,1,1,1
13,2,5,4,4,4,1,4,5,2,0,3,3,3,0,3,3,3,4,4,5,4,3,0,5,5
14,6,4,1,1,1,0,1,1,11,0,0,0,0,0,0,0,0,0,1,1,1,10,1,1,1
15,2,5,4,4,4,1,4,5,2,2,3,3,3,1,3,3,3,4,4,5,4,3,1,5,5
16,7,1,2,2,2,8,2,0,7,1,9,9,9,1,9,9,9,9,0,0,9,8,2,0,0
17,9,0,0,0,0,2,0,3,1,3,2,2,2,0,2,2,1,3,2,4,0,0,0,4,4
18,6,4,1,1,1,0,1,1,9,0,0,0,0,0,0,0,0,0,1,1,1,9,4,1,1
19,1,3,6,6,6,6,6,6,8,0,5,5,5,0,5,8,5,6,5,7,7,4,0,8,7
20,9,0,0,0,0,2,0,3,1,3,2,2,2,0,2,2,1,3,2,4,0,0,0,4,4
21,8,1,5,5,5,4,5,0,3,2,4,4,4,1,4,4,4,5,0,6,6,1,0,6,6
22,8,1,5,5,5,1,5,0,3,1,4,4,4,1,4,4,4,5,0,6,10,1,0,6,6
23,7,1,2,2,2,8,2,0,7,1,9,9,9,1,9,9,9,9,0,0,10,8,0,0,0
24,10,2,2,2,2,9,2,9,10,4,10,10,10,1,10,10,10,10,0,0,8,1,2,0,0
25,0,3,7,7,7,7,7,7,5,5,6,6,6,0,7,6,7,7,8,8,0,5,0,7,8
26,6,4,1,1,1,0,1,1,11,0,0,0,0,0,0,0,0,0,1,1,1,10,4,1,1
27,9,0,0,0,0,2,0,3,1,3,2,2,2,0,2,2,1,3,2,4,0,0,0,4,4
28,11,2,2,2,2,9,2,9,10,1,10,10,10,1,10,10,10,10,0,0,8,1,5,0,0
29,1,3,6,6,6,6,6,6,8,0,5,5,5,0,5,8,5,6,5,7,7,4,0,8,7
30,1,3,6,6,6,6,6,6,8,0,5,5,5,0,5,8,5,6,5,7,7,4,0,8,7
31,6,4,1,1,1,0,1,1,9,0,0,0,0,0,0,0,0,0,1,1,1,9,1,1,1
32,2,5,4,4,4,1,4,5,2,2,3,3,3,1,3,3,3,4,4,5,4,3,1,5,5
