id,ground_truth,CNM,Combo,Leiden,Louvain,Paris,RB-C,RB-ER,Significance,Eigenvector,RSC-K,RSC-SSE,RSC-V,Spectral,Deepwalk,Fairwalk,Node2Vec,Infomap,Spinglass,Walktrap,Fluid,Label Propagation,EM,SBM,SBM - Nested
0,0,1,1,1,1,1,1,1,176,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1
1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,6,5
2,0,0,1,7,7,1,5,15,58,0,0,0,0,0,0,0,1,12,5,0,1,1,0,1,1
3,0,1,1,1,1,1,1,239,14,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,3
4,0,1,1,1,1,1,1,189,328,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,3
5,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,5,19
6,0,1,1,1,1,1,1,1,2,1,0,1,0,0,1,1,1,1,1,1,1,1,0,3,1
7,0,1,1,1,1,1,1,1,282,1,0,1,0,0,1,1,1,1,1,1,1,1,0,14,5
8,0,0,0,0,0,0,0,53,181,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
9,0,1,1,2,2,1,2,3,22,1,0,0,0,0,1,1,1,5,1,1,1,1,1,1,1
10,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,12,11
11,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,14,18
12,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,6,10
13,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,7,8
14,0,1,1,2,2,1,2,2,11,1,0,0,0,0,1,1,1,4,1,2,1,1,0,1,1
15,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,6,5
16,0,2,1,2,2,1,2,21,110,1,0,0,0,0,1,1,1,2,2,1,1,1,1,1,1
17,0,1,1,1,1,1,1,1,302,1,0,1,0,0,1,1,1,1,1,1,1,1,0,14,5
18,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,14,18
19,0,1,1,1,1,0,1,1,114,1,1,0,0,0,1,1,1,1,1,1,1,1,0,14,5
20,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,13,3
21,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,13,3
22,0,1,1,1,1,1,1,370,320,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1
23,0,1,1,1,1,1,1,1,10,1,1,1,0,0,1,1,1,1,1,1,1,1,0,6,10
24,0,1,1,1,1,1,1,1,101,1,0,1,0,0,1,1,1,1,1,1,1,1,0,3,1
25,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,13,10
26,0,1,1,2,2,1,2,2,11,0,0,0,0,0,1,1,1,4,1,2,1,1,1,1,1
27,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,14,11
28,0,1,1,1,1,1,1,180,19,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1
29,0,1,1,1,1,0,1,22,60,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,3
30,0,1,1,1,1,0,1,23,112,1,0,0,0,0,1,1,1,1,1,1,1,1,0,7,10
31,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,7,11
32,0,1,1,1,1,1,1,1,3,1,0,1,0,0,1,1,1,1,1,1,1,1,0,3,1
33,0,1,1,1,1,1,1,65,188,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,3
34,0,1,1,1,1,1,1,158,233,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,3
35,0,1,1,1,1,1,1,1,55,1,1,1,0,0,1,1,1,1,1,1,1,1,0,5,19
36,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,6,20
37,0,1,1,1,1,1,1,24,113,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1
