id,ground_truth,CNM,Combo,Leiden,Louvain,Paris,RB-C,RB-ER,Significance,Eigenvector,RSC-K,RSC-SSE,RSC-V,Spectral,Deepwalk,Fairwalk,Node2Vec,Infomap,Spinglass,Walktrap,Fluid,Label Propagation,EM,SBM,SBM - Nested
0,1,0,3,3,3,0,3,3,3,3,2,2,0,0,0,0,0,3,4,3,0,2,0,0,3
1,0,0,3,3,3,0,3,3,3,3,2,2,0,0,0,0,0,3,4,3,0,2,0,0,3
2,0,0,3,3,3,0,3,3,3,3,2,2,2,0,1,2,0,3,4,3,0,2,0,0,3
3,0,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
4,1,0,3,3,3,0,3,3,3,2,2,2,0,0,1,1,1,3,4,3,0,2,0,0,3
5,0,0,3,3,3,0,3,3,3,3,2,2,0,0,0,0,0,3,4,3,0,2,0,0,3
6,1,0,3,3,3,0,3,3,3,3,2,2,0,0,0,0,0,3,4,0,0,2,0,0,3
7,1,0,3,3,3,0,3,3,3,2,2,2,2,1,2,2,2,3,4,0,2,0,0,0,3
8,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
9,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0
10,0,0,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0
11,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
12,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
13,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
14,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,2,1,2,0,0
15,0,0,0,1,0,0,1,0,11,3,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0
16,0,0,0,1,0,0,1,0,11,3,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0
17,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0
18,1,0,3,3,0,0,3,3,19,3,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0
19,0,0,0,1,0,0,1,4,13,3,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0
20,0,0,0,4,0,0,4,0,7,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
21,0,0,0,1,0,0,1,0,28,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0
22,0,0,0,1,0,0,1,0,12,3,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0
23,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
24,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
